X_(ms),SERVO_03.r35:_Motortemperatur_PT1000,SERVO_03.r63:_Drehzahlistwert_geglättet,SERVO_03.r76:_Stromistwert_feldbildend,SERVO_03.r78[1]:_Stromistwert_momentenbildend._Geglättet_mit_p0045,SERVO_03.r72:_Ausgangsspannung,Drehzahl_>_0_(Siemens),TM150_04.r4105[1]:_TM150_Temperaturistwert._Temperaturkanal_1_KTY,Channel_1-Vor_Kühlwasser_PT100_an_Muffe,Channel_2-Ruek_Kühlwasser_PT100_an_Muffe,Drehzahl_>_0_(PT104),RotorTemp,Channel_3-Rot_RotorTemp_(Wert_/_0.0125_=_°C),Control_Unit.r747:_CU_Digitalausgänge_Status_Drehzahl_>_0,Channel_4_ON_wenn_>_700_dann_Drehzahl_>_0
104000,25.11710167,500.0778503,-0.432703108,1.304943323,411.5107422,10,24.10000038,23.604,23.676,10,24.6304,0.30788,4096,700.18152
105000,25.09324837,500.1385193,-0.449905366,1.418093443,409.863678,10,24.10000038,23.604,23.676,10,24.6304,0.30788,4096,700.15753
106000,25.18987274,499.9919128,-0.398557365,1.376972437,411.090332,10,24.10000038,23.615,23.685,10,24.6304,0.30788,4096,700.15753
107000,25.17026901,499.9957886,-0.450686157,1.429499507,412.981842,10,24.10000038,23.615,23.685,10,24.4616,0.30577,4096,700.15753
108000,25.20284081,500.1548157,-0.465877265,1.436004996,412.5346985,10,24.10000038,23.628,23.685,10,24.4616,0.30577,4096,700.18353
109000,25.22780037,500.1284485,-0.493522137,1.406571627,413.5990601,10,24.10000038,23.628,23.696,10,24.4616,0.30577,4096,700.18353
110000,25.20410538,500.020752,-0.467935622,1.517707348,414.3561096,10,24.10000038,23.628,23.696,10,24.7128,0.30891,4096,700.16003
111000,25.23024559,500.0513611,-0.439077646,1.602323055,413.8778076,10,24.20000076,23.624,23.696,10,24.7128,0.30891,4096,700.16003
112000,25.30257797,500.0563965,-0.482676417,1.470030427,412.1080017,10,24.20000076,23.624,23.705,10,24.8064,0.31008,4096,700.16003
113000,25.41122055,500.0187988,-0.436689138,1.373889804,412.9259949,10,24.20000076,23.624,23.705,10,24.8064,0.31008,4096,700.16583
114000,25.30405426,500.0862122,-0.41767782,1.406025887,411.3635559,10,24.29999924,23.635,23.722,10,24.8064,0.31008,4096,700.16583
115000,25.34402466,499.9953613,-0.435326993,1.342787623,412.5346985,10,24.29999924,23.635,23.722,10,24.8368,0.31046,4096,700.16583
116000,25.37615013,500.0764771,-0.466546804,1.393191695,412.5895996,10,24.29999924,23.635,23.722,10,24.8368,0.31046,4096,700.1795
117000,25.56611824,500.0029602,-0.449727863,1.401189685,413.6620178,10,24.29999924,23.635,23.734,10,24.8368,0.31046,4096,700.1795
118000,25.46157265,500.0982971,-0.334817976,1.345166087,414.7137756,10,24.29999924,23.635,23.734,10,24.9424,0.31178,4096,700.17004
119000,26.1897831,499.9138794,-0.507195652,1.416049242,415.7858887,10,24.29999924,23.637,23.734,10,24.9424,0.31178,4096,700.17004
120000,25.5904026,500.0181885,-0.41009903,1.437489271,411.5198364,10,24.39999962,23.637,23.736,10,24.9944,0.31243,4096,700.17004
121000,25.64376259,500.0375061,-0.428492963,1.534509063,414.4896545,10,24.39999962,23.637,23.736,10,25.0024,0.31253,4096,700.16443
122000,25.63314819,499.9527588,-0.339232594,1.746813655,417.0526733,10,24.39999962,23.657,23.74,10,25.0024,0.31253,4096,700.16443
